creditLimit,amount,isCardPresent,merchantCategoryCode,transactionType,geoLocation,timeOfDay,isForeignTransaction,paymentDueInDays,lastPaymentAmount,isFlaggedFraud,availableCredit,isFraud
13990,2197,False,Fuel,Purchase,"Chicago, US",12:40,0,35,2696,0,11793,0
7873,3467,True,Electronics,Bill Payment,"London, UK",08:12,0,56,376,0,4406,0
6675,1907,False,Clothing,Cash Advance,"Berlin, DE",18:04,0,47,8578,0,4768,0
1161,1722,False,Groceries,Cash Advance,"Berlin, DE",05:07,0,11,4325,0,0,0
5297,3692,False,Travel,Cash Advance,"New York, US",02:49,0,49,4049,0,1605,1
1995,1817,False,Utilities,Cash Advance,"New York, US",07:57,0,11,2422,0,178,0
12534,253,False,Clothing,Bill Payment,"Los Angeles, US",20:07,0,17,2285,0,12281,0
8629,4228,True,Pharmacy,Purchase,"Berlin, DE",18:17,0,35,4062,0,4401,0
2016,3520,True,Clothing,Purchase,"London, UK",15:37,0,47,6390,0,0,0
9529,1908,False,Electronics,Purchase,"London, UK",11:42,0,49,8577,0,7621,0
18262,1911,True,Clothing,Purchase,"London, UK",23:09,0,18,1061,0,16351,0
10268,2522,False,Travel,Cash Advance,"Delhi, IN",04:51,0,47,7411,0,7746,0
13185,3850,True,Fuel,Cash Advance,"Los Angeles, US",01:06,0,52,8710,0,9335,0
7331,1059,True,Pharmacy,Bill Payment,"Los Angeles, US",06:58,0,34,7561,0,6272,0
9571,3539,True,Travel,Purchase,"New York, US",14:11,0,48,1100,0,6032,0
8208,2323,True,Groceries,Cash Advance,"Los Angeles, US",03:53,0,26,9658,0,5885,0
6276,187,True,Fuel,Cash Advance,"New York, US",03:21,0,2,9984,0,6089,0
19446,949,True,Restaurants,Cash Advance,"New York, US",12:59,0,12,4132,0,18497,0
17448,2291,True,Electronics,Purchase,"Delhi, IN",09:53,0,37,4504,0,15157,0
17216,4360,True,Pharmacy,Cash Advance,"Los Angeles, US",20:00,0,50,3649,0,12856,0
9006,4618,False,Travel,Purchase,"Los Angeles, US",00:19,0,40,843,0,4388,1
3568,4879,False,Fuel,Purchase,"Delhi, IN",06:11,0,18,6967,0,0,1
3027,4631,True,Clothing,Bill Payment,"Delhi, IN",09:49,0,42,5582,0,0,0
3695,210,True,Fuel,Bill Payment,"Los Angeles, US",03:37,0,34,4649,0,3485,0
16422,2094,True,Travel,Purchase,"Los Angeles, US",07:29,0,14,6192,0,14328,0
6258,3539,False,Restaurants,Purchase,"New York, US",20:01,0,15,3142,0,2719,1
7736,1564,True,Travel,Purchase,"Chicago, US",01:10,0,34,245,0,6172,0
1391,26,True,Restaurants,Cash Advance,"Berlin, DE",14:33,0,4,5110,0,1365,0
14986,175,False,Clothing,Cash Advance,"New York, US",08:16,0,6,6019,1,14811,1
13666,1335,False,Travel,Cash Advance,"London, UK",21:30,0,20,5967,0,12331,0
6892,322,False,Fuel,Bill Payment,"London, UK",01:59,0,40,8533,0,6570,0
4561,4151,True,Groceries,Purchase,"Chicago, US",13:11,0,53,6210,0,410,0
7184,4048,False,Groceries,Cash Advance,"Berlin, DE",08:43,1,0,8917,0,3136,1
9392,3228,True,Clothing,Cash Advance,"Delhi, IN",07:24,0,24,6067,0,6164,0
14067,1873,False,Utilities,Bill Payment,"London, UK",12:35,0,29,2886,0,12194,0
16265,2068,True,Utilities,Bill Payment,"Delhi, IN",04:24,0,18,4152,0,14197,0
3454,333,True,Fuel,Purchase,"Delhi, IN",08:59,0,23,1309,0,3121,0
12837,2992,True,Groceries,Purchase,"New York, US",04:06,0,45,9671,0,9845,0
15039,911,False,Clothing,Cash Advance,"Delhi, IN",22:32,0,59,9938,0,14128,0
11965,4497,True,Restaurants,Cash Advance,"Chicago, US",20:39,0,14,7622,0,7468,0
10762,950,True,Fuel,Cash Advance,"New York, US",16:23,0,34,4288,0,9812,0
6056,2076,True,Utilities,Cash Advance,"Chicago, US",20:06,0,23,6769,0,3980,0
15948,2515,False,Pharmacy,Cash Advance,"Delhi, IN",05:58,0,35,9337,0,13433,0
9110,3332,True,Restaurants,Bill Payment,"London, UK",10:25,1,48,666,0,5778,1
14773,3030,True,Fuel,Purchase,"Berlin, DE",10:30,0,58,585,0,11743,0
18412,101,True,Restaurants,Bill Payment,"Delhi, IN",00:02,0,13,353,0,18311,0
1502,4647,True,Restaurants,Purchase,"Chicago, US",18:45,0,21,2614,0,0,0
7910,2401,False,Groceries,Purchase,"Los Angeles, US",14:00,0,38,7637,0,5509,0
13685,3372,True,Pharmacy,Purchase,"Los Angeles, US",04:55,0,7,3097,0,10313,0
1206,2344,False,Fuel,Bill Payment,"London, UK",11:50,0,47,8235,0,0,0
18868,353,False,Travel,Cash Advance,"Berlin, DE",08:59,0,53,9796,0,18515,0
16934,2956,True,Groceries,Purchase,"Chicago, US",09:37,0,15,2895,0,13978,0
18247,1019,False,Restaurants,Purchase,"London, UK",18:50,0,45,8715,0,17228,0
9755,1180,False,Restaurants,Bill Payment,"New York, US",23:59,0,16,9320,0,8575,0
13383,3537,False,Utilities,Bill Payment,"Delhi, IN",19:37,0,4,7255,0,9846,1
19141,3651,True,Travel,Cash Advance,"New York, US",05:24,0,40,6794,0,15490,0
15820,2503,False,Utilities,Cash Advance,"Los Angeles, US",21:04,0,34,8849,0,13317,0
8574,3820,False,Travel,Purchase,"Delhi, IN",02:59,0,52,7843,0,4754,1
7374,980,True,Restaurants,Bill Payment,"New York, US",04:16,0,53,2386,0,6394,0
2678,4835,True,Travel,Cash Advance,"Los Angeles, US",00:54,1,36,5445,0,0,1
2059,977,False,Pharmacy,Cash Advance,"Berlin, DE",14:09,0,51,6742,0,1082,0
17198,1372,False,Electronics,Cash Advance,"New York, US",20:00,0,17,1862,0,15826,0
10914,2281,False,Utilities,Bill Payment,"Delhi, IN",14:07,1,20,7019,0,8633,1
11817,4577,True,Utilities,Bill Payment,"New York, US",20:25,1,41,776,0,7240,1
11921,108,False,Groceries,Bill Payment,"Delhi, IN",18:39,0,0,5825,0,11813,0
10789,973,True,Pharmacy,Bill Payment,"New York, US",00:04,1,16,1663,0,9816,0
17312,1627,False,Fuel,Bill Payment,"London, UK",03:34,0,7,755,0,15685,0
12252,704,False,Utilities,Purchase,"Berlin, DE",02:47,0,28,4654,0,11548,0
3693,875,True,Travel,Purchase,"New York, US",12:46,0,19,7532,0,2818,0
14931,3810,False,Travel,Bill Payment,"New York, US",04:57,0,48,3695,0,11121,1
4627,2412,True,Electronics,Purchase,"London, UK",07:41,0,49,302,0,2215,0
17157,2108,False,Fuel,Bill Payment,"Los Angeles, US",22:19,0,36,1098,0,15049,0
11173,3554,True,Electronics,Purchase,"Delhi, IN",08:50,0,38,7618,0,7619,0
19047,1274,True,Fuel,Purchase,"Chicago, US",02:38,0,59,1404,0,17773,0
11230,560,False,Utilities,Cash Advance,"Los Angeles, US",20:30,0,4,1321,0,10670,0
16707,117,True,Utilities,Bill Payment,"Delhi, IN",10:04,0,58,304,0,16590,0
12494,4970,False,Groceries,Purchase,"New York, US",10:04,1,9,6173,0,7524,1
2306,3047,True,Travel,Purchase,"Los Angeles, US",10:26,0,5,4103,0,0,0
7776,44,True,Groceries,Cash Advance,"New York, US",21:47,0,6,5540,0,7732,0
10474,509,True,Fuel,Purchase,"Los Angeles, US",22:05,0,34,7,0,9965,0
8526,3440,False,Travel,Cash Advance,"Los Angeles, US",09:11,0,26,9966,0,5086,1
6530,3929,True,Utilities,Purchase,"Chicago, US",20:24,1,41,1214,0,2601,1
4748,4945,True,Electronics,Cash Advance,"London, UK",14:26,0,20,6520,0,0,0
14545,917,True,Utilities,Cash Advance,"Los Angeles, US",18:11,0,23,697,0,13628,0
1663,2946,False,Utilities,Bill Payment,"New York, US",06:45,0,28,4001,0,0,0
2998,799,False,Restaurants,Bill Payment,"Chicago, US",23:14,1,26,2726,0,2199,0
8994,4972,True,Electronics,Purchase,"Los Angeles, US",19:02,1,37,6799,0,4022,1
18879,1761,True,Restaurants,Bill Payment,"London, UK",19:45,0,1,1923,0,17118,0
4304,2334,False,Pharmacy,Bill Payment,"New York, US",04:45,0,24,3423,0,1970,0
19237,3276,True,Pharmacy,Bill Payment,"Chicago, US",13:08,0,1,9828,0,15961,0
14808,819,True,Electronics,Purchase,"Delhi, IN",12:39,0,37,429,0,13989,0
7585,2169,True,Fuel,Purchase,"Berlin, DE",07:39,0,58,9926,0,5416,0
18675,3736,True,Groceries,Bill Payment,"London, UK",12:55,0,17,5388,0,14939,0
12649,3066,True,Pharmacy,Bill Payment,"Delhi, IN",11:23,0,41,3153,0,9583,0
2636,3260,True,Restaurants,Purchase,"Delhi, IN",19:44,1,6,9897,1,0,1
18082,907,False,Fuel,Bill Payment,"Chicago, US",08:52,0,48,6156,0,17175,0
5737,4109,True,Groceries,Cash Advance,"Chicago, US",02:26,1,3,7068,0,1628,1
15555,603,True,Groceries,Purchase,"Chicago, US",05:56,0,43,1220,0,14952,0
14877,4296,False,Travel,Purchase,"Delhi, IN",13:33,0,39,3061,0,10581,1
1854,2634,False,Utilities,Cash Advance,"Berlin, DE",15:16,0,40,5726,0,0,0
6855,1792,False,Travel,Bill Payment,"New York, US",13:09,1,9,5950,0,5063,1
8392,3528,False,Utilities,Cash Advance,"Chicago, US",14:06,0,50,3941,0,4864,1
14949,4544,True,Travel,Bill Payment,"London, UK",14:57,0,40,3122,0,10405,0
19091,1812,False,Restaurants,Bill Payment,"Chicago, US",11:21,0,27,302,0,17279,0
6791,3912,True,Restaurants,Purchase,"Berlin, DE",18:08,0,29,7510,1,2879,1
5931,841,False,Utilities,Purchase,"Chicago, US",14:00,0,23,2078,0,5090,0
1202,3143,False,Pharmacy,Bill Payment,"Berlin, DE",06:47,0,35,3669,0,0,1
12447,4686,False,Groceries,Cash Advance,"Chicago, US",06:08,0,15,8733,0,7761,1
13688,2091,True,Restaurants,Purchase,"Delhi, IN",13:40,0,32,6549,0,11597,0
5389,4616,False,Groceries,Bill Payment,"Berlin, DE",02:25,0,9,4783,0,773,1
3327,1037,False,Fuel,Purchase,"New York, US",07:02,1,47,6886,0,2290,1
9004,725,False,Electronics,Purchase,"Chicago, US",16:04,0,20,5479,0,8279,0
8777,988,True,Groceries,Purchase,"Delhi, IN",02:05,0,26,2479,0,7789,0
1197,803,True,Groceries,Cash Advance,"London, UK",21:55,0,54,3000,0,394,0
2930,2583,False,Fuel,Cash Advance,"New York, US",14:32,0,20,8510,0,347,0
12774,3838,True,Utilities,Bill Payment,"Delhi, IN",02:45,0,26,7427,0,8936,0
16087,527,False,Travel,Cash Advance,"Berlin, DE",11:58,0,31,4582,0,15560,0
10339,1666,True,Clothing,Bill Payment,"Los Angeles, US",01:51,1,4,9168,0,8673,1
12589,1139,False,Pharmacy,Bill Payment,"London, UK",23:48,1,52,1360,0,11450,1
19895,460,True,Utilities,Purchase,"London, UK",00:12,0,34,3818,0,19435,0
16708,2553,False,Travel,Purchase,"Los Angeles, US",22:21,0,21,9127,0,14155,0
18043,4421,True,Travel,Cash Advance,"Delhi, IN",14:03,0,58,2386,0,13622,0
3811,4675,True,Pharmacy,Bill Payment,"Delhi, IN",18:21,0,35,8955,0,0,0
15243,2809,False,Utilities,Bill Payment,"Berlin, DE",22:10,0,9,5006,0,12434,0
7546,2899,False,Utilities,Purchase,"London, UK",01:29,0,33,4996,0,4647,0
2986,3244,True,Pharmacy,Purchase,"Delhi, IN",13:53,0,51,5293,0,0,0
9338,4069,False,Groceries,Purchase,"Los Angeles, US",08:28,0,53,8215,0,5269,1
12411,2332,False,Groceries,Cash Advance,"Delhi, IN",23:00,0,5,1025,0,10079,0
3911,4571,False,Restaurants,Bill Payment,"London, UK",02:11,0,13,7866,0,0,1
2734,3686,False,Restaurants,Bill Payment,"Delhi, IN",22:34,0,58,1187,0,0,1
19227,632,True,Electronics,Bill Payment,"New York, US",09:57,0,56,1007,0,18595,0
9680,4799,False,Electronics,Purchase,"Los Angeles, US",15:25,0,55,5470,0,4881,1
19343,2457,True,Clothing,Cash Advance,"Los Angeles, US",05:38,0,36,1117,0,16886,0
6759,982,True,Utilities,Cash Advance,"Chicago, US",10:10,0,57,8395,0,5777,0
3385,4655,False,Restaurants,Purchase,"Delhi, IN",08:17,0,18,7290,0,0,1
12111,4318,False,Utilities,Cash Advance,"Berlin, DE",18:17,0,31,8228,0,7793,1
5736,1557,True,Groceries,Cash Advance,"Los Angeles, US",18:44,0,19,6773,0,4179,0
2802,2206,False,Fuel,Bill Payment,"Delhi, IN",12:32,0,20,9044,0,596,0
9155,4444,False,Restaurants,Purchase,"New York, US",07:25,0,14,7307,0,4711,1
9120,4985,True,Groceries,Purchase,"London, UK",05:52,0,16,633,0,4135,0
7616,3956,True,Utilities,Purchase,"London, UK",05:31,0,43,9444,0,3660,0
15257,922,True,Pharmacy,Purchase,"Chicago, US",18:18,0,56,4514,0,14335,0
15486,405,False,Restaurants,Bill Payment,"Chicago, US",10:36,0,44,9708,0,15081,0
17646,4773,False,Travel,Cash Advance,"Berlin, DE",06:40,0,51,5859,0,12873,1
15075,4685,True,Restaurants,Cash Advance,"Los Angeles, US",22:53,0,23,4980,0,10390,0
10208,1621,True,Utilities,Bill Payment,"Berlin, DE",18:18,0,20,8519,1,8587,1
17371,2953,False,Utilities,Cash Advance,"Los Angeles, US",10:17,0,47,7523,0,14418,0
12835,3119,False,Clothing,Purchase,"Los Angeles, US",02:25,0,14,1030,0,9716,1
14168,1595,False,Utilities,Bill Payment,"New York, US",08:11,0,10,2562,0,12573,0
3049,566,True,Travel,Bill Payment,"Chicago, US",18:02,0,36,8919,0,2483,0
6423,4800,False,Groceries,Purchase,"Chicago, US",14:11,0,29,9416,0,1623,1
15589,2869,False,Travel,Purchase,"London, UK",14:23,0,59,7059,0,12720,0
8158,858,True,Restaurants,Purchase,"Chicago, US",20:36,0,17,5331,0,7300,0
11248,1285,False,Pharmacy,Cash Advance,"Chicago, US",00:08,0,55,685,0,9963,0
8400,585,True,Travel,Purchase,"New York, US",22:46,0,27,3140,0,7815,0
10874,4328,False,Clothing,Bill Payment,"Berlin, DE",21:38,0,12,6080,0,6546,1
16151,1246,True,Fuel,Cash Advance,"Los Angeles, US",08:36,1,42,2025,0,14905,1
19639,52,True,Travel,Cash Advance,"Berlin, DE",13:10,0,9,5648,0,19587,0
2154,2164,True,Utilities,Bill Payment,"New York, US",17:23,0,46,2379,0,0,0
5499,538,False,Clothing,Cash Advance,"Delhi, IN",01:34,0,38,429,0,4961,0
7295,541,False,Travel,Purchase,"London, UK",14:11,0,11,2807,0,6754,0
13183,815,False,Electronics,Purchase,"London, UK",09:42,1,49,6883,0,12368,0
13874,1416,False,Fuel,Purchase,"London, UK",04:33,0,58,1194,0,12458,0
19032,2839,True,Groceries,Purchase,"Berlin, DE",12:11,0,37,8397,0,16193,0
6539,1653,False,Utilities,Cash Advance,"Los Angeles, US",17:49,0,40,5722,0,4886,0
10637,2666,False,Clothing,Bill Payment,"Los Angeles, US",09:47,0,47,1160,0,7971,0
16586,4515,True,Travel,Cash Advance,"Los Angeles, US",02:10,1,39,2846,0,12071,1
3557,4063,True,Pharmacy,Bill Payment,"London, UK",11:31,1,25,3084,0,0,1
6592,2357,True,Fuel,Bill Payment,"London, UK",02:08,0,43,9582,0,4235,0
17482,3811,True,Groceries,Purchase,"Berlin, DE",23:36,0,18,7117,0,13671,0
3200,864,False,Fuel,Cash Advance,"Berlin, DE",02:55,1,22,3817,0,2336,0
15172,186,True,Clothing,Purchase,"London, UK",09:26,0,47,7060,0,14986,0
3961,4357,False,Electronics,Cash Advance,"Delhi, IN",07:15,0,35,9970,0,0,1
15207,1552,False,Clothing,Cash Advance,"Delhi, IN",17:52,0,26,6828,0,13655,0
12969,2208,True,Clothing,Purchase,"Berlin, DE",10:28,0,51,5502,0,10761,0
3869,762,True,Pharmacy,Cash Advance,"London, UK",20:37,0,15,2021,0,3107,0
18340,4320,True,Groceries,Purchase,"Los Angeles, US",05:46,0,6,6407,0,14020,0
14992,1280,True,Pharmacy,Bill Payment,"Los Angeles, US",03:35,0,58,5512,0,13712,0
6699,4276,True,Pharmacy,Purchase,"Delhi, IN",08:38,0,12,6588,0,2423,0
4987,4728,False,Groceries,Cash Advance,"Delhi, IN",12:27,0,54,9043,0,259,1
14446,3695,True,Travel,Cash Advance,"London, UK",07:07,0,11,2914,0,10751,0
2218,3282,False,Restaurants,Bill Payment,"London, UK",05:40,0,26,4904,0,0,1
5735,1537,True,Clothing,Bill Payment,"Los Angeles, US",22:54,0,32,3996,0,4198,0
12296,3165,False,Groceries,Bill Payment,"Berlin, DE",09:07,0,30,4555,0,9131,1
5555,2771,False,Pharmacy,Purchase,"Chicago, US",11:52,0,10,5685,0,2784,0
10146,1964,False,Clothing,Purchase,"Berlin, DE",13:17,0,16,3294,0,8182,0
9050,3846,True,Clothing,Cash Advance,"Los Angeles, US",19:50,0,37,6878,0,5204,0
13757,3436,True,Pharmacy,Bill Payment,"Berlin, DE",22:23,0,1,8056,0,10321,0
18429,4711,True,Groceries,Bill Payment,"Los Angeles, US",05:12,0,2,1578,0,13718,0
7893,562,False,Electronics,Purchase,"London, UK",18:16,0,33,4676,0,7331,0
19077,2422,False,Electronics,Cash Advance,"Chicago, US",12:02,0,49,8399,0,16655,0
15373,4718,True,Clothing,Bill Payment,"Chicago, US",01:20,0,31,1295,0,10655,0
15565,2136,True,Electronics,Purchase,"London, UK",21:04,1,23,8857,0,13429,1
4436,2062,False,Clothing,Purchase,"New York, US",19:05,0,23,3862,0,2374,0
9754,2181,False,Pharmacy,Bill Payment,"London, UK",17:38,0,12,88,0,7573,0
11677,1961,True,Travel,Bill Payment,"Delhi, IN",14:13,0,21,5880,0,9716,0
6895,3880,True,Groceries,Cash Advance,"Berlin, DE",06:28,0,18,3824,0,3015,0
17609,3280,True,Clothing,Bill Payment,"Chicago, US",21:11,0,52,3189,0,14329,0
16636,3885,False,Electronics,Purchase,"London, UK",05:10,0,29,5795,0,12751,1
8022,3271,False,Electronics,Bill Payment,"Los Angeles, US",00:38,0,38,3874,0,4751,1
10151,4688,True,Fuel,Bill Payment,"Los Angeles, US",22:16,0,20,416,0,5463,0
6600,583,True,Fuel,Cash Advance,"Berlin, DE",12:43,0,47,6915,0,6017,0
8996,1614,True,Utilities,Purchase,"Los Angeles, US",18:03,1,22,2617,0,7382,1
10007,1102,True,Electronics,Bill Payment,"London, UK",16:06,0,15,4531,0,8905,0
13946,289,True,Utilities,Purchase,"New York, US",09:05,0,41,2247,0,13657,0
5642,3860,False,Utilities,Cash Advance,"Delhi, IN",21:50,1,6,1898,0,1782,1
12312,3061,True,Utilities,Purchase,"Los Angeles, US",15:03,0,19,7817,0,9251,0
8679,2927,False,Travel,Bill Payment,"London, UK",23:59,0,47,9021,0,5752,0
9208,4103,False,Restaurants,Bill Payment,"New York, US",20:26,0,41,5919,0,5105,1
19589,1184,False,Clothing,Cash Advance,"Chicago, US",10:04,0,13,4911,0,18405,0
11716,4336,False,Fuel,Cash Advance,"Chicago, US",08:01,0,25,1242,0,7380,1
18453,1447,False,Clothing,Cash Advance,"Berlin, DE",17:29,0,21,6320,0,17006,0
4444,1750,False,Fuel,Purchase,"Delhi, IN",10:06,0,40,5585,0,2694,0
11757,1904,False,Groceries,Purchase,"London, UK",09:59,0,35,889,0,9853,0
15434,3176,False,Groceries,Purchase,"London, UK",14:29,0,25,7330,0,12258,1
2060,1078,True,Electronics,Purchase,"Los Angeles, US",10:40,0,11,9499,0,982,0
19711,2378,True,Groceries,Cash Advance,"New York, US",17:19,0,48,6841,0,17333,0
4420,848,True,Pharmacy,Purchase,"Delhi, IN",12:50,0,30,7217,0,3572,0
1301,2877,True,Groceries,Purchase,"New York, US",12:31,1,39,2864,0,0,1
13468,1240,True,Restaurants,Purchase,"Delhi, IN",21:19,0,3,6585,0,12228,0
17990,1333,False,Utilities,Purchase,"London, UK",23:32,0,39,8408,0,16657,0
1699,3507,False,Travel,Cash Advance,"London, UK",08:42,0,26,9424,0,0,1
1190,2380,False,Electronics,Cash Advance,"Delhi, IN",16:16,0,8,8537,0,0,0
11492,4792,False,Restaurants,Bill Payment,"New York, US",08:13,0,11,1428,0,6700,1
18364,4123,False,Pharmacy,Bill Payment,"Berlin, DE",10:59,0,28,2655,0,14241,1
3975,3238,True,Electronics,Purchase,"Chicago, US",00:34,1,27,8040,0,737,1
7102,2366,True,Travel,Purchase,"Chicago, US",08:52,0,15,5182,0,4736,0
18568,2413,False,Electronics,Cash Advance,"Los Angeles, US",01:30,0,7,338,0,16155,0
2816,3175,True,Clothing,Bill Payment,"Los Angeles, US",05:38,0,46,321,0,0,0
1569,373,True,Clothing,Purchase,"Berlin, DE",07:28,0,48,4258,0,1196,0
6442,1950,True,Clothing,Bill Payment,"New York, US",12:11,0,12,335,0,4492,0
2895,245,True,Groceries,Bill Payment,"Berlin, DE",03:19,1,13,5362,0,2650,0
4863,1841,True,Travel,Bill Payment,"London, UK",12:29,0,59,5271,0,3022,0
13913,3428,False,Restaurants,Cash Advance,"New York, US",05:51,0,14,5214,0,10485,1
8455,125,True,Restaurants,Purchase,"Delhi, IN",05:52,0,59,2025,0,8330,0
5014,4633,True,Pharmacy,Purchase,"Chicago, US",05:45,0,8,8598,0,381,0
12093,2754,False,Fuel,Cash Advance,"Los Angeles, US",19:15,0,52,96,0,9339,0
19070,1920,False,Restaurants,Cash Advance,"New York, US",07:00,1,55,2852,0,17150,1
4009,1636,False,Utilities,Cash Advance,"New York, US",08:26,1,43,2403,0,2373,1
17538,1426,False,Clothing,Bill Payment,"Delhi, IN",08:23,0,31,3134,0,16112,0
11729,1541,False,Utilities,Bill Payment,"London, UK",09:51,0,21,3831,0,10188,0
2409,531,False,Pharmacy,Purchase,"London, UK",19:15,0,54,6462,0,1878,0
13249,4350,False,Utilities,Purchase,"Chicago, US",05:42,0,50,6930,0,8899,1
1784,3104,False,Clothing,Bill Payment,"Berlin, DE",02:17,0,24,916,0,0,1
9096,4757,True,Fuel,Bill Payment,"Berlin, DE",01:35,0,40,2130,0,4339,0
8560,1802,False,Groceries,Cash Advance,"Los Angeles, US",19:24,0,25,5529,0,6758,0
13533,1037,False,Restaurants,Bill Payment,"London, UK",05:39,0,44,8370,0,12496,0
8343,3729,True,Travel,Purchase,"London, UK",09:22,0,28,5691,0,4614,0
8206,4012,False,Fuel,Purchase,"London, UK",06:34,0,17,4301,0,4194,1
6801,3464,False,Restaurants,Cash Advance,"Berlin, DE",21:39,1,35,6353,0,3337,1
